Autor,Titel,Absatz,Fokalisierung,Kommentar
Marie von Ebner-Eschenbach ,Krambambuli,"Vorliebe empfindet der Mensch für allerlei Dinge und Wesen. Liebe, die echte, unvergängliche, die lernt er – wenn überhaupt – nur einmal kennen. So wenigstens meint der Herr Revierjäger Hopp. Wie viele Hunde hat er schon gehabt und auch gern gehabt, aber lieb, was man sagt lieb und unvergesslich, ist ihm nur einer gewesen – der Krambambuli. Er hatte ihn im Wirtshause Zum Löwen in Wischau von einem vazierenden Forstgehilfen gekauft oder eigentlich eingetauscht. Gleich beim ersten Anblick des Hundes war er von der Zuneigung ergriffen worden, die dauern sollte bis zu seinem letzten Atemzuge. Dem Herrn des schönen Tieres, der am Tische vor einem geleerten Branntweingläschen saß und über den Wirt schimpfte, weil dieser kein zweites umsonst hergeben wollte, sah der Lump aus den Augen. Ein kleiner Kerl, noch jung und doch so fahl wie ein abgestorbener Baum, mit gelbem Haar und gelbem spärlichem Barte. Der Jägerrock, vermutlich ein Überrest aus der vergangenen Herrlichkeit des letzten Dienstes, trug die Spuren einer im nassen Straßengraben zugebrachten Nacht. Obwohl sich Hopp ungern in schlechte Gesellschaft begab, nahm er trotzdem Platz neben dem Burschen und begann sogleich ein Gespräch mit ihm. Da bekam er es denn bald heraus, dass der Nichtsnutz den Stutzen und die Jagdtasche dem Wirt bereits als Pfänder ausgeliefert hatte und dass er jetzt auch den Hund als solches hergeben möchte; der Wirt jedoch, der schmutzige Leuteschinder, wollte von einem Pfand, das gefüttert werden muss, nichts hören.",intern,
Marie von Ebner-Eschenbach ,Krambambuli,"Herr Hopp sagte vorerst kein Wort von dem Wohlgefallen, das er an dem Hunde gefunden hatte, ließ aber eine Flasche von dem guten Danziger Kirschbranntwein bringen, den der Löwenwirt damals führte, und schenkte dem Vazierenden fleißig ein. – Nun, in einer Stunde war alles in Ordnung. Der Jäger gab zwölf Flaschen von demselben Getränke, bei dem der Handel geschlossen worden – der Vagabund gab den Hund. Zu seiner Ehre muss man gestehen: nicht leicht. Die Hände zitterten ihm so sehr, als er dem Tiere die Leine um den Hals legte, dass es schien, er werde mit dieser Manipulation nimmermehr zurechtkommen. Hopp wartete geduldig und bewunderte im Stillen den trotz der schlechten Kondition, in der er sich befand, wundervollen Hund. Höchstens zwei Jahre mochte er alt sein, und in der Farbe glich er dem Lumpen, der ihn hergab, doch war die seine um ein paar Schattierungen dunkler. Auf der Stirn hatte er ein Abzeichen, einen weißen Strich, der rechts und links in kleine Linien auslief, in der Art wie die Nadeln an einem Tannenreis. Die Augen waren groß, schwarz, leuchtend, von tauklaren, lichtgelben Reiflein umsäumt, die Ohren hoch angesetzt, lang, makellos. Und makellos war alles an dem ganzen Hunde von der Klaue bis zu der feinen Witternase; die kräftige, geschmeidige Gestalt, das über jedes Lob erhabene Piedestal. Vier lebende Säulen, die auch den Körper eines Hirsches getragen hätten und nicht viel dicker waren als die Läufe eines Hasen. Beim heiligen Hubertus! dieses Geschöpf musste einen Stammbaum haben, so alt und rein wie der eines deutschen Ordensritters. Dem Jäger lachte das Herz im Leibe über den prächtigen Handel, den er gemacht hatte. Er stand nun auf, ergriff die Leine, die zu verknoten dem Vazierenden endlich gelungen war, und fragte: »Wie heißt er denn?« – »Er heißt wie das, wofür Ihr ihn kriegt: Krambambuli«, lautete die Antwort. – »Gut, gut, Krambambuli! So komm! Wirst gehen? Vorwärts!« – Ja, er konnte lange rufen, pfeifen, zerren – der Hund gehorchte ihm nicht, wandte den Kopf dem zu, den er noch für seinen Herrn hielt, heulte, als dieser ihm zuschrie: »Marsch!« und den Befehl mit einem tüchtigen Fußtritt begleitete, suchte sich aber immer wieder an ihn heranzudrängen. Erst nach einem heißen Kampfe gelang es Herrn Hopp, die Besitzergreifung des Hundes zu vollziehen. Gebunden und geknebelt musste er zuletzt in einem Sacke auf die Schulter geladen und so bis in das mehrere Wegstunden entfernte Jägerhaus getragen werden.",intern,
Heinrich Mann,Ein Verbrechen,"»Glaubt mir, ihr jungen Leute, und begnügt euch in der Liebe mit Kleinigkeiten! Nehmt von den Frauen das Gute an, das sie euch zu geben vermögen, aber im übrigen –«",extern,
Heinrich Mann,Ein Verbrechen,Der Rittmeister a.D. von Hecht machte die seinen Gästen bekannte Handbewegung: »Reden wir nicht davon.« Er nahm einen Schluck Punsch und fuhr fort:,extern,
Hugo von Hofmannsthal ,Erlebnis des Marschalls von Bassompierre,"Zu einer gewissen Zeit meines Lebens brachten es meine Dienste mit sich, daß ich ziemlich regelmäßig mehrmals in der Woche um eine gewisse Stunde über die kleine Brücke ging (denn der Pont neuf war damals noch nicht erbaut) und dabei meist von einigen Handwerkern oder anderen Leuten aus dem Volk erkannt und gegrüßt wurde, am auffälligsten aber und regelmäßigsten von einer sehr hübschen Krämerin, deren Laden an einem Schild mit zwei Engeln kenntlich war, und die, sooft ich in den fünf oder sechs Monaten vorüberkam, sich tief neigte und mir soweit nachsah, als sie konnte. Ihr Betragen fiel mir auf, ich sah sie gleichfalls an und dankte ihr sorgfältig. Einmal, im Spätwinter, ritt ich von Fontainebleau nach Paris, und als ich wieder die kleine Brücke heraufkam, trat sie an ihre Ladentür und sagte zu mir, indem ich vorbeiritt: »Mein Herr, Ihre Dienerin!« Ich erwiderte ihren Gruß, und indem ich mich von Zeit zu Zeit umsah, hatte sie sich weiter vorgelehnt, um mir soweit als möglich nachzusehen. Ich hatte einen Bedienten und einen Postillon hinter mir, die ich noch diesen Abend mit Briefen an gewisse Damen nach Fontainebleau zurückschicken wollte. Auf meinen Befehl stieg der Bediente ab und ging zu der jungen Frau, ihr in meinem Namen zu sagen, daß ich ihre Neigung, mich zu sehen und zu grüßen, bemerkt hätte; ich wollte, wenn sie wünschte mich näher kennenzulernen, sie aufsuchen, wo sie verlangte.",intern,
Hugo von Hofmannsthal ,Erlebnis des Marschalls von Bassompierre,"Sie antwortete dem Bedienten: er hätte ihr keine erwünschtere Botschaft bringen können, sie wollte kommen, wohin ich sie bestellte.",intern,
Rainer Maria Rilke ,Die Turnstunde,"In der Militärschule zu Sankt Severin. Turnsaal. Der Jahrgang steht in den hellen Zwillichblusen, in zwei Reihen geordnet, unter den großen Gaskronen. Der Turnlehrer, ein junger Offizier mit hartem braunen Gesicht und höhnischen Augen, hat Freiübungen kommandiert und verteilt nun die Riegen. »Erste Riege Reck, zweite Riege Barren, dritte Riege Bock, vierte Riege Klettern! Abtreten!« Und rasch, auf den leichten, mit Kolophonium isolierten Schuhen, zerstreuen sich die Knaben. Einige bleiben mitten im Saale stehen, zögernd, gleichsam unwillig. Es ist die vierte Riege, die schlechten Turner, die keine Freude haben an der Bewegung bei den Geräten und schon müde sind von den zwanzig Kniebeugen und ein wenig verwirrt und atemlos.",extern,
Rainer Maria Rilke ,Die Turnstunde,"Nur Einer, der sonst der Allerletzte blieb bei solchen Anlässen, Karl Gruber, steht schon an den Kletterstangen, die in einer etwas dämmerigen Ecke des Saales, hart vor den Nischen, in denen die abgelegten Uniformröcke hängen, angebracht sind. Er hat die nächste Stange erfaßt und zieht sie mit ungewöhnlicher Kraft nach vorn, so daß sie frei an dem zur Übung geeigneten Platze schwankt. Gruber läßt nicht einmal, die Hände von ihr, er springt auf und bleibt, ziemlich hoch, die Beine ganz unwillkürlich im Kletterschluß verschränkt, den er sonst niemals begreifen konnte, an der Stange hängen. So erwartet er die Riege und betrachtet – wie es scheint – mit besonderem Vergnügen den erstaunten Ärger des kleinen polnischen Unteroffiziers, der ihm zuruft, abzuspringen. Aber Gruber ist diesmal sogar ungehorsam und Jastersky, der blonde Unteroffizier, schreit endlich: »Also, entweder Sie kommen herunter oder Sie klettern hinauf, Gruber! Sonst melde ich dem Herrn Oberlieutenant …« Und da beginnt Gruber zu klettern, erst heftig mit Überstürzung, die Beine wenig aufziehend und die Blicke aufwärts gerichtet, mit einer gewissen Angst das unermeßliche Stück Stange abschätzend, das noch bevorsteht. Dann verlangsamt sich seine Bewegung; und als ob er jeden Griff genösse, wie etwas Neues, Angenehmes, zieht er sich höher, als man gewöhnlich zu klettern pflegt. Er beachtet nicht die Aufregung des ohnehin gereizten Unteroffiziers, klettert und klettert, die Blicke immerfort aufwärts gerichtet, als hätte er einen Ausweg in der Decke des Saales entdeckt und strebte danach, ihn zu erreichen. Die ganze Riege folgt ihm mit den Augen. Und auch aus den anderen Riegen richtet man schon da und dort die Aufmerksamkeit auf den Kletterer, der sonst kaum das erste Drittteil der Stange keuchend, mit rotem Gesicht und bösen Augen erklomm.",extern,
Karl May ,Sonnenscheinchen,"Der Herr Major fuhr durch das Dorf. Die Frau Major saß neben ihm. Und auch das ›Majörle‹ war dabei, das kleine.",extern,
Karl May ,Sonnenscheinchen,"Man kannte den Herrn Major im ganzen Orte, und einen Einzigen ausgenommen, hatte ihn jedermann lieb. Er gehörte zu jenen im Dienste unnachsichtig strengen Offizieren, die aber, sobald sie den Zivilrock tragen, dann gegen alle Menschen mild und freundlich sind. Und heute war er in Zivil! Der weiche Felbelhut saß ihm hinten im Nacken, sodaß das braune Gesicht mit der hohen Stirn ganz zu sehen war, unter welcher die hellen Augen nach allen Seiten lachten.",extern,
Thomas Mann ,Wälsungenblut,"Da es sieben Minuten vor zwölf war, kam Wendelin in den Vorsaal des ersten Stockes und rührte das Tamtam. Breitbeinig, in seinen veilchenfarbenen Kniehosen, stand er auf einem altersblassen Gebetsteppich und bearbeitete das Metall mit dem Klöppel. Der erzene Lärm, wild, kannibalisch und übertrieben für seinen Zweck, drang überall hin: in die Salons zur Rechten und Linken, den Billardsaal, die Bibliothek, den Wintergarten, hinab und hinauf durch das ganze Haus, dessen gleichmäßig erwärmte Atmosphäre durchaus mit einem süßen und exotischen Parfum geschwängert war. Endlich schwieg er, und Wendelin ging noch sieben Minuten lang anderen Geschäften nach, indes Florian im Eßsaal die letzte Hand an den Frühstückstisch legte. Aber Schlag zwölf Uhr ertönte die kriegerische Mahnung zum zweitenmal. Und hierauf erschien man.",null,
Thomas Mann ,Wälsungenblut,"Herr Aarenhold kam mit kurzen Schritten aus der Bibliothek, wo er sich mit seinen alten Drucken beschäftigt hatte. Er erwarb beständig literarische Altertümer, Ausgaben erster Hand in allen Sprachen, kostbare und moderige Scharteken. Indem er sich leise die Hände rieb, fragte er in seiner gedämpften und ein wenig leidenden Art: »Ist Beckerath noch nicht da?«",null,
Alfred Döblin ,Die Ermordung einer Butterblume,"Der schwarzgekleidete Herr hatte erst seine Schritte gezählt, eins, zwei, drei, bis hundert und rückwärts, als er den breiten Fichtenweg nach St. Ottilien hinanstieg, und sich bei jeder Bewegung mit den Hüften stark nach rechts und links gewiegt, so daß er manchmal taumelte; dann vergaß er es.",intern,
Alfred Döblin ,Die Ermordung einer Butterblume,"Die hellbraunen Augen, die freundlich hervorquollen, starrten auf den Erdboden, der unter den Füßen fortzog, und die Arme schlenkerten an den Schultern, daß die weißen Manschetten halb über die Hände fielen. Wenn ein gelbrotes Abendlicht zwischen den Stämmen die Augen zum Zwinkern brachte, zuckte der Kopf, machten die Hände entrüstete hastige Abwehrbewegungen. Das dünne Spazierstöckchen wippte in der Rechten über Gräser und Blumen am Wegrand und vergnügte sich mit den Blüten.",extern,
Arthur Schnitzler ,Die Toten schweigen,"Er ertrug es nicht länger, ruhig im Wagen zu sitzen; er stieg aus und ging auf und ab. Es war schon dunkel; die wenigen Laternenlichter in dieser stillen, abseits liegenden Straße flackerten, vom Winde bewegt, hin und her. Es hatte aufgehört zu regnen; die Trottoirs waren beinahe trocken; aber die ungepflasterten Fahrstraßen waren noch feucht, und an einzelnen Stellen hatten sich kleine Tümpel gebildet.",intern,
Arthur Schnitzler ,Die Toten schweigen,"Es ist sonderbar, dachte Franz, wie man sich hier, hundert Schritte von der Praterstraße, in irgendeine ungarische Kleinstadt versetzt glauben kann. Immerhin – sicher dürfte man hier wenigstens sein; hier wird sie keinen ihrer gefürchteten Bekannten treffen.",intern,
Georg Heym,Der Irre,"Der Wärter gab ihm seine Sachen, der Kassierer händigte ihm sein Geld aus, der Türsteher schloß vor ihm die große eiserne Tür auf. Er war im Vorgarten, er klinkte die Gartenpforte auf, und er war draußen.",intern,
Georg Heym,Der Irre,"So, und nun sollte die Welt etwas erleben.",intern,
Franz Kafka,Das Urteil,"Es war an einem Sonntagvormittag im schönsten Frühjahr. Georg Bendemann, ein junger Kaufmann, saß in seinem Privatzimmer im ersten Stock eines der niedrigen, leichtgebauten Häuser, die entlang des Flusses in einer langen Reihe, fast nur in der Höhe und Färbung unterschieden, sich hinzogen. Er hatte gerade einen Brief an einen sich im Ausland befindenden Jugendfreund beendet, verschloß ihn in spielerischer Langsamkeit und sah dann, den Ellbogen auf den Schreibtisch gestützt, aus dem Fenster auf den Fluß, die Brücke und die Anhöhen am anderen Ufer mit ihrem schwachen Grün.",intern,
Franz Kafka,Das Urteil,"Er dachte darüber nach, wie dieser Freund, mit seinem Fortkommen zu Hause unzufrieden, vor Jahren schon nach Rußland sich förmlich geflüchtet hatte. Nun betrieb er ein Geschäft in Petersburg, das anfangs sich sehr gut angelassen hatte, seit langem aber schon zu stocken schien, wie der Freund bei seinen immer seltener werdenden Besuchen klagte. So arbeitete er sich in der Fremde nutzlos ab, der fremdartige Vollbart verdeckte nur schlecht das seit den Kinderjahren wohlbekannte Gesicht, dessen gelbe Hautfarbe auf eine sich entwickelnde Krankheit hinzudeuten schien. Wie er erzählte, hatte er keine rechte Verbindung mit der dortigen Kolonie seiner Landsleute, aber auch fast keinen gesellschaftlichen Verkehr mit einheimischen Familien und richtete sich so für ein endgültiges Junggesellentum ein.",intern,
